City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,enewetak,11.3474,162.3373,80.13,80,74,19.64,MH,1712896541
341,guangyuan,32.442,105.823,76.08,55,51,8.97,CN,1712896541
342,jaen,38.0,-3.5,51.03,57,2,6.35,ES,1712896541
343,hola,51.5377,23.1902,48.38,68,60,6.64,PL,1712896256
344,murzuq,25.9155,13.9184,66.42,19,10,15.17,LY,1712896263
345,dongcun,36.7767,121.1597,62.49,64,91,10.25,CN,1712896541
346,vinita,36.6387,-95.1541,55.85,58,42,8.08,US,1712896541
347,buala,-8.145,159.5921,85.69,68,77,4.83,SB,1712896257
348,den burg,53.0542,4.7972,53.96,99,100,16.11,NL,1712896542
349,naze,28.3667,129.4833,70.72,88,97,8.21,JP,1712896257
350,alice springs,-23.7,133.8833,80.22,21,1,14.97,AU,1712896542
351,wewak,-3.5534,143.6268,83.7,84,19,8.99,PG,1712896542
352,mount isa,-20.7333,139.5,83.97,24,2,9.22,AU,1712896257
353,vangviang,18.9333,102.45,98.42,31,44,4.99,LA,1712896257
354,serro,-18.6047,-43.3794,64.87,98,6,0.36,BR,1712896258
355,xingcheng,40.6167,120.7167,61.68,65,61,22.62,CN,1712896258
356,margate,51.3813,1.3862,50.88,83,98,5.01,GB,1712896423
357,pangoa,-12.1167,-73.0,70.03,99,100,2.46,PE,1712896542
358,banda aceh,5.5577,95.3222,89.31,60,36,5.23,ID,1712896258
359,qamdo,31.1667,97.2333,43.09,28,8,7.23,CN,1712896543
360,mata-utu,-13.2816,-176.1745,85.3,77,22,12.17,WF,1712896543
361,tambopata,-12.7333,-69.1833,78.15,84,100,1.81,PE,1712896258
362,kourou,5.1552,-52.6478,82.45,93,71,6.13,GF,1712896543
363,peruibe,-24.32,-46.9983,71.78,93,89,0.78,BR,1712896543
364,eureka,40.8021,-124.1637,50.94,89,32,5.01,US,1712896364
